"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.962209583E-1,-5.784124196E-2,-2.517583019E-1,-1.346012671E0,1.370575778E0
6.062279583E-1,2.156318647E-1,-3.324528015E-1,-1.420234888E0,1.474479265E0
6.162349583E-1,3.368031299E-1,-4.086431909E-1,-1.415232010E0,1.511061629E0
6.262409583E-1,4.129981971E-1,-4.764515966E-1,-1.296437053E0,1.441638882E0
6.362479583E-1,6.423330116E-1,-6.295147455E-1,-1.181873726E0,1.485161950E0
6.462549583E-1,9.361801565E-1,-7.613940167E-1,-9.854698455E-1,1.557981049E0
6.562619583E-1,1.090251365E0,-1.037093743E0,-9.277502257E-1,1.767747706E0
6.662679583E-1,1.118640182E0,-1.270969505E0,-1.248152500E0,2.103474270E0
6.762749583E-1,1.048968269E0,-1.387827864E0,-1.717452368E0,2.444594699E0
6.862819583E-1,5.657146060E-1,-1.262037299E0,-2.170157837E0,2.573393906E0
6.962889583E-1,1.828456494E-1,-1.532899039E0,-2.810620909E0,3.206680821E0
7.062949583E-1,4.876498917E-1,-1.722228958E0,-3.352772405E0,3.800652286E0
7.163019583E-1,8.512984657E-1,-1.300310833E0,-3.353043716E0,3.695729901E0
7.263089583E-1,1.321355547E0,-9.089338857E-1,-2.985229293E0,3.388766033E0
7.363159583E-1,1.773816603E0,-1.287680848E0,-2.812880858E0,3.566068707E0
7.463219583E-1,1.834339670E0,-1.740783927E0,-2.374971183E0,3.469238941E0
7.563289583E-1,1.777963156E0,-1.905167871E0,-1.905359074E0,3.228190019E0
7.663359583E-1,1.807489841E0,-2.159737514E0,-1.518756378E0,3.199704141E0
7.763429583E-1,1.773178379E0,-2.395619163E0,-1.064124836E0,3.164729753E0
7.863499583E-1,1.755504878E0,-2.364497358E0,-6.963022274E-1,3.026133163E0
7.963559583E-1,1.611363995E0,-2.282200721E0,-4.391697496E-1,2.828038919E0
8.063629583E-1,1.437588547E0,-2.316532648E0,-2.060471088E-1,2.734125043E0
8.163699583E-1,1.275731770E0,-2.417631591E0,-7.948704958E-3,2.733586882E0
8.263769583E-1,1.009584932E0,-2.421757094E0,3.726266813E-1,2.650098074E0
8.363829583E-1,6.909350681E-1,-2.415992032E0,7.421063912E-1,2.620139436E0
8.463899583E-1,4.965826830E-1,-2.462262219E0,9.141694826E-1,2.673019910E0
8.563969583E-1,4.096304932E-1,-2.460440226E0,8.030250227E-1,2.620384025E0
8.664039583E-1,4.542859715E-1,-2.512101839E0,6.083051401E-1,2.624322110E0
8.764099583E-1,4.492342696E-1,-2.536618629E0,4.467617744E-1,2.614544240E0
8.864169583E-1,2.956437019E-1,-2.613518870E0,1.252742565E-1,2.633169141E0
8.964239583E-1,-1.348692450E-1,-2.689668329E0,-2.600373745E-2,2.693173153E0
9.064309583E-1,-5.704239535E-1,-2.649873641E0,4.541240036E-2,2.710954830E0
9.164369583E-1,-9.669347566E-1,-2.489563453E0,1.063514972E-1,2.672863568E0
9.264439583E-1,-1.428504020E0,-2.385719242E0,1.688535547E-1,2.785819729E0
9.364509583E-1,-1.777599751E0,-2.362805466E0,2.205183828E-1,2.965019208E0
9.464579583E-1,-2.172735874E0,-2.295351402E0,2.859797162E-1,3.173515973E0
9.564639583E-1,-2.422156459E0,-2.342736652E0,3.633038807E-1,3.389284090E0
9.664709583E-1,-2.303376120E0,-2.367660409E0,4.743664795E-1,3.337121652E0
9.764779583E-1,-1.984673631E0,-2.124292277E0,6.339726627E-1,2.975477850E0
9.864849583E-1,-1.394013049E0,-1.726869016E0,8.568492275E-1,2.378978684E0
9.964909583E-1,-6.115187699E-1,-1.306757096E0,1.156357647E0,1.848981428E0
1.006497958E0,-4.386230350E-2,-9.551783448E-1,1.418501773E0,1.710683154E0
1.016504958E0,2.587287676E-1,-7.495855647E-1,1.486241766E0,1.684557414E0
1.026511958E0,1.883446634E-1,-4.696091849E-1,1.375700154E0,1.465795829E0
1.036517958E0,-8.401922643E-2,-1.248634896E-1,1.224083607E0,1.233300773E0
1.046524958E0,-2.586907607E-1,1.174547750E-1,9.809622270E-1,1.021275391E0
1.056531958E0,-6.753411287E-1,1.366628784E-1,6.517353344E-1,9.484309825E-1
1.066538958E0,-1.168865426E0,-9.437932312E-2,3.309845656E-1,1.218484560E0
1.076545958E0,-1.001644998E0,-2.762449792E-1,1.611445856E-1,1.051461634E0
1.086551958E0,1.232552129E-1,-7.092087865E-2,2.830081612E-1,3.167258086E-1
1.096558958E0,9.542404515E-1,5.935420901E-1,5.958476472E-1,1.271967559E0
1.106565958E0,9.927127916E-1,1.286604960E0,1.101081286E0,1.962959757E0
1.116572958E0,6.791611147E-1,1.341452135E0,1.276457410E0,1.972332926E0
1.126578958E0,1.286562860E-1,6.733421119E-1,1.261574492E0,1.435796726E0
1.136585958E0,-3.805058044E-1,-3.321816368E-1,1.217858953E0,1.318449748E0
1.146592958E0,-4.960567260E-1,-1.026136353E0,1.194668311E0,1.651139142E0
1.156599958E0,4.906451279E-1,-1.049455780E0,1.256583308E0,1.709120150E0
1.166605958E0,2.292110875E0,-5.853033632E-2,1.514021888E0,2.747628130E0
1.176612958E0,3.237092845E0,1.323124915E0,2.090517298E0,4.074271984E0
1.186619958E0,3.400468143E0,2.217846704E0,2.477708224E0,4.756160809E0
1.196626958E0,2.804756736E0,2.372315670E0,2.428231716E0,4.403504429E0
1.206632958E0,1.524675515E0,2.066553946E0,2.300198451E0,3.447635937E0
