"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.620186250E-1,1.587598572E0,4.320764923E0,8.596473541E0,9.751350475E0
6.720246250E-1,1.544338531E0,4.376748505E0,8.587342529E0,9.761319618E0
6.820306250E-1,1.512005768E0,4.388873291E0,8.644523621E0,9.812041522E0
6.920366250E-1,1.505868530E0,4.385580139E0,8.721014557E0,9.877097149E0
7.020426250E-1,1.489103394E0,4.361929321E0,8.729397125E0,9.871485729E0
7.120486250E-1,1.472188568E0,4.327650604E0,8.652606812E0,9.785882871E0
7.220546250E-1,1.492845612E0,4.301006012E0,8.597072296E0,9.728149505E0
7.320606250E-1,1.550326080E0,4.287983093E0,8.575068054E0,9.711956656E0
7.420666250E-1,1.554367676E0,4.332141266E0,8.588090973E0,9.743655032E0
7.520726250E-1,1.568139038E0,4.339775391E0,8.601263580E0,9.760862957E0
7.620786250E-1,1.580712891E0,4.340074768E0,8.589138794E0,9.752343690E0
7.720846250E-1,1.540746002E0,4.329446869E0,8.541388092E0,9.699140115E0
7.820906250E-1,1.499431915E0,4.295766907E0,8.506660309E0,9.647029543E0
7.920966250E-1,1.451980591E0,4.291425934E0,8.580007782E0,9.702634576E0
8.021016250E-1,1.418899384E0,4.284240875E0,8.665779419E0,9.770554144E0
8.121076250E-1,1.478176117E0,4.279899902E0,8.688981171E0,9.798007021E0
8.221136250E-1,1.534010010E0,4.293820953E0,8.684789886E0,9.808958174E0
8.321196250E-1,1.555415497E0,4.310885468E0,8.644673309E0,9.784346044E0
8.421256667E-1,1.596430206E0,4.332740021E0,8.633895721E0,9.791086805E0
8.521316667E-1,1.610051880E0,4.368365936E0,8.614436188E0,9.792006885E0
8.621376667E-1,1.585353241E0,4.364773407E0,8.616382141E0,9.788086278E0
8.721436667E-1,1.564247131E0,4.365521851E0,8.624914398E0,9.792537898E0
8.821496667E-1,1.551822968E0,4.361031189E0,8.585097198E0,9.753493808E0
8.921556667E-1,1.544188843E0,4.311035156E0,8.568332062E0,9.715238423E0
9.021616667E-1,1.472038879E0,4.262236633E0,8.597671051E0,9.708424542E0
9.121676667E-1,1.472937012E0,4.285139008E0,8.640332336E0,9.756398036E0
9.221736667E-1,1.500180359E0,4.286785583E0,8.652906189E0,9.772402840E0
9.321796667E-1,1.514101410E0,4.269571381E0,8.668174438E0,9.780541445E0
9.421856667E-1,1.509461060E0,4.230802002E0,8.684191132E0,9.777184353E0
9.521916667E-1,1.516047363E0,4.251459045E0,8.637937317E0,9.746141016E0
9.621976667E-1,1.553170166E0,4.294569397E0,8.553512878E0,9.696300657E0
9.722036667E-1,1.599723358E0,4.356241150E0,8.536448364E0,9.716321447E0
9.822096667E-1,1.589544525E0,4.392765198E0,8.613238678E0,9.798516133E0
9.922156667E-1,1.551373901E0,4.430935822E0,8.648864594E0,9.840874554E0
1.002221667E0,1.546434174E0,4.407883759E0,8.632548523E0,9.815385468E0
1.012227667E0,1.550026703E0,4.356241150E0,8.619824982E0,9.781656427E0
1.022233667E0,1.490899658E0,4.307742004E0,8.687933350E0,9.811198136E0
1.032239667E0,1.472787323E0,4.259991302E0,8.712931366E0,9.809780904E0
1.042245667E0,1.483714600E0,4.249513092E0,8.694968719E0,9.790927002E0
1.052251667E0,1.483864288E0,4.244872742E0,8.687633972E0,9.782422085E0
1.062257667E0,1.519639893E0,4.275109863E0,8.669821014E0,9.785278032E0
1.072263667E0,1.532363434E0,4.329446869E0,8.663534088E0,9.805563257E0
1.082269667E0,1.484762421E0,4.366419983E0,8.665180664E0,9.816083682E0
1.092275667E0,1.497485962E0,4.398004303E0,8.662486267E0,9.829729110E0
1.102281667E0,1.561253357E0,4.399800568E0,8.632398834E0,9.813973034E0
1.112287667E0,1.606908417E0,4.439019012E0,8.616681519E0,9.825184214E0
1.122293667E0,1.623374176E0,4.508923645E0,8.607400818E0,9.851552415E0
1.132299667E0,1.617087250E0,4.553530884E0,8.615184631E0,9.877804458E0
1.142305667E0,1.579066315E0,4.561165009E0,8.685388641E0,9.936480892E0
1.152311667E0,1.529369659E0,4.508025513E0,8.732540588E0,9.945779542E0
1.162316667E0,1.592388611E0,4.390669556E0,8.748706970E0,9.917336048E0
1.172322667E0,1.650767212E0,4.273313599E0,8.825646973E0,9.943756131E0
1.182328667E0,1.497785339E0,4.182602234E0,9.011560364E0,1.004717585E1
1.192334667E0,1.397493896E0,4.118535461E0,9.012757874E0,1.000725377E1
1.202340667E0,1.495989075E0,4.073628845E0,8.835526428E0,9.843727066E0
1.212346667E0,1.624721375E0,4.068988495E0,8.699309692E0,9.740347840E0
1.222352667E0,1.680106201E0,4.077969818E0,8.695417786E0,9.750019751E0
1.232358667E0,1.579665070E0,4.164190521E0,8.684041443E0,9.759528688E0
1.242364667E0,1.416204987E0,4.247716827E0,8.640931091E0,9.732133627E0
1.252370667E0,1.326391754E0,4.304897919E0,8.550818481E0,9.664779246E0
1.262376667E0,1.177601166E0,4.298161926E0,8.497678986E0,9.595388923E0
1.272382667E0,1.033001862E0,4.269421692E0,8.446036377E0,9.520009712E0
1.282388667E0,1.003962250E0,4.205803986E0,8.406368866E0,9.453240972E0
1.292394667E0,1.060394897E0,4.137545929E0,8.305029602E0,9.339017097E0
1.302400667E0,1.084195404E0,4.071982269E0,8.290659485E0,9.300083546E0
1.312406667E0,1.080902252E0,4.007765808E0,8.445737000E0,9.410685943E0
1.322412667E0,1.147962799E0,3.979025574E0,8.587641907E0,9.534047232E0
1.332418667E0,1.253044281E0,3.994443512E0,8.687184906E0,9.643281627E0
1.342424667E0,1.393601990E0,3.998185730E0,8.762029266E0,9.731432192E0
1.352430667E0,1.569935303E0,3.917653198E0,8.772058411E0,9.734562763E0
1.362436667E0,1.654509430E0,3.823498993E0,8.750503235E0,9.691638296E0
1.372442667E0,1.640738068E0,3.738026733E0,8.770112457E0,9.673662067E0
1.382448667E0,1.502126312E0,3.623514862E0,8.845555573E0,9.676264610E0
1.392454667E0,1.350042572E0,3.648063812E0,8.915460205E0,9.727096956E0
1.402460667E0,1.268462219E0,3.903582458E0,8.873846741E0,9.777121682E0
1.412466667E0,1.178499298E0,4.147275696E0,8.841064911E0,9.836319690E0
1.422472667E0,1.098266144E0,4.191882935E0,8.803642731E0,9.812349178E0
1.432478667E0,1.096170502E0,4.134103088E0,8.794511719E0,9.779357570E0
1.442484667E0,1.148561554E0,4.093088379E0,8.811725922E0,9.783612821E0
1.452490667E0,1.249451752E0,4.046834564E0,8.817863159E0,9.782265094E0
1.462496667E0,1.400038605E0,3.986510010E0,8.771459656E0,9.736060530E0
1.472502667E0,1.427581329E0,3.943998413E0,8.803193665E0,9.751375833E0
1.482508667E0,1.328786774E0,3.925586700E0,8.856033783E0,9.777793186E0
1.492514667E0,1.235081635E0,3.970493317E0,8.943302307E0,9.862702468E0
1.502520667E0,1.158291321E0,3.995341644E0,9.010961609E0,9.924808449E0
1.512525667E0,1.106648712E0,3.993096313E0,9.060358887E0,9.962910855E0
1.522531667E0,1.123264160E0,3.945944366E0,9.090745697E0,9.973658138E0
1.532537667E0,1.205293579E0,3.854334869E0,9.095236359E0,9.951480006E0
1.542543667E0,1.335373077E0,3.764970703E0,9.095984802E0,9.934544035E0
1.552549667E0,1.471440125E0,3.730691986E0,9.082662506E0,9.928643258E0
1.562555667E0,1.594633942E0,3.742667084E0,9.045988770E0,9.918685756E0
1.572561667E0,1.638193359E0,3.873345337E0,9.058412933E0,9.987057948E0
1.582567667E0,1.692680054E0,3.847000122E0,9.031918030E0,9.961933497E0
1.592573667E0,1.710493011E0,3.745810547E0,8.974138184E0,9.873805707E0
1.602579667E0,1.600172424E0,3.702251129E0,8.950487366E0,9.817252125E0
1.612585667E0,1.442849579E0,3.711831207E0,8.981472931E0,9.824783042E0
1.622591667E0,1.342408447E0,3.713627472E0,8.990753632E0,9.819711824E0
1.632597667E0,1.288819885E0,3.647764435E0,8.961863708E0,9.761262377E0
1.642603667E0,1.229543152E0,3.515738983E0,8.970096588E0,9.712611892E0
1.652609667E0,1.224154358E0,3.487896881E0,8.945248260E0,9.678917552E0
1.662615667E0,1.250798950E0,3.550616455E0,8.872349854E0,9.637944135E0
1.672621667E0,1.303190002E0,3.594774628E0,8.867110748E0,9.656415579E0
1.682627667E0,1.319655762E0,3.589984589E0,8.838669891E0,9.630761451E0
1.692633667E0,1.360969849E0,3.551065521E0,8.906778259E0,9.684678840E0
1.702639667E0,1.424437866E0,3.628753967E0,8.940757599E0,9.753667261E0
1.712645667E0,1.451531525E0,3.771856384E0,8.847800903E0,9.727148872E0
1.722651667E0,1.397493896E0,3.891906738E0,8.786727905E0,9.711154130E0
1.732657667E0,1.320254517E0,3.930975494E0,8.826096039E0,9.751697884E0
1.742663667E0,1.263522491E0,3.933370514E0,8.880433044E0,9.794385317E0
1.752669667E0,1.280886383E0,3.890260162E0,8.986412659E0,9.875748404E0
1.762675667E0,1.354084167E0,3.785328369E0,9.080417175E0,9.930570521E0
1.772681667E0,1.446142731E0,3.725153503E0,9.030421143E0,9.875049541E0
1.782687667E0,1.398841095E0,3.723207550E0,9.016799469E0,9.855034426E0
1.792693667E0,1.347497864E0,3.685485992E0,9.084608459E0,9.895891489E0
1.802699667E0,1.386865997E0,3.629951477E0,8.985664215E0,9.789898182E0
1.812705667E0,1.447190552E0,3.596421204E0,8.834179230E0,9.647348269E0
1.822711667E0,1.461410980E0,3.605552216E0,8.781339111E0,9.604563781E0
1.832716667E0,1.404678955E0,3.677402802E0,8.787476349E0,9.628922832E0
1.842723667E0,1.328637085E0,3.764671326E0,8.843908997E0,9.703234153E0
1.852728667E0,1.232536926E0,3.814517670E0,8.893605652E0,9.755301831E0
1.862734667E0,1.227746887E0,3.850892029E0,8.862919464E0,9.741050932E0
1.872740667E0,1.271306305E0,3.872746582E0,8.807085571E0,9.704593864E0
1.882746667E0,1.301543427E0,3.892505493E0,8.820108490E0,9.728305509E0
1.892752667E0,1.340013428E0,3.909420319E0,8.802594910E0,9.724447561E0
1.902758667E0,1.347048798E0,3.942800903E0,8.796607361E0,9.733474225E0
1.912764667E0,1.287622375E0,4.007316742E0,8.732989655E0,9.694414225E0
1.922770667E0,1.153950348E0,4.107907562E0,8.699160004E0,9.689266779E0
1.932776667E0,1.196461945E0,4.200714569E0,8.691974945E0,9.727689989E0
1.942782667E0,1.291214905E0,4.257596283E0,8.677604828E0,9.751676142E0
1.952788667E0,1.297801208E0,4.247866516E0,8.649313660E0,9.723131425E0
1.962794667E0,1.258582764E0,4.236639862E0,8.669222260E0,9.730804822E0
1.972800667E0,1.255888367E0,4.242028656E0,8.688981171E0,9.750408017E0
1.982806667E0,1.263073425E0,4.249363403E0,8.752000122E0,9.810705884E0
1.992812667E0,1.274300079E0,4.251309357E0,8.795858917E0,9.852137130E0
2.002818667E0,1.314566345E0,4.240082703E0,8.785231018E0,9.843102663E0
2.012824667E0,1.327140198E0,4.184997253E0,8.775950317E0,9.812889844E0
2.022830667E0,1.341510315E0,4.130809937E0,8.818611603E0,9.830114509E0
2.032836667E0,1.386267242E0,4.082610168E0,8.816366272E0,9.814161039E0
2.042842667E0,1.389111328E0,4.087849274E0,8.773405609E0,9.778179173E0
2.052848667E0,1.400637360E0,4.082610168E0,8.743767242E0,9.751048989E0
2.062854667E0,1.398541718E0,4.077221375E0,8.741521912E0,9.746479282E0
2.072860667E0,1.363963623E0,4.067341919E0,8.716074829E0,9.714608972E0
2.082866667E0,1.287023621E0,4.086502075E0,8.714577942E0,9.710808294E0
2.092872667E0,1.220861206E0,4.090843048E0,8.664881287E0,9.659485837E0
2.102878667E0,1.161434784E0,4.056564331E0,8.828640747E0,9.785169512E0
2.112884667E0,1.213227081E0,4.083508301E0,8.721014557E0,9.705825822E0
2.122890667E0,1.292412415E0,4.137246552E0,8.549022217E0,9.585036241E0
2.132896667E0,1.269360352E0,4.149371338E0,8.660390625E0,9.686636360E0
2.142902667E0,1.280137939E0,4.172423401E0,8.677006073E0,9.712790772E0
2.152908667E0,1.275946655E0,4.183949432E0,8.702453156E0,9.739926265E0
2.162914667E0,1.234333191E0,4.197571106E0,8.759933624E0,9.791813862E0
2.172919667E0,1.194066925E0,4.225712585E0,8.733738098E0,9.775511436E0
2.182925667E0,1.112187195E0,4.263434143E0,8.707692261E0,9.758982301E0
2.192931667E0,1.088237000E0,4.289779358E0,8.695866852E0,9.757282768E0
2.202937667E0,1.141376495E0,4.310586090E0,8.724307709E0,9.797828216E0
2.212943667E0,1.193917236E0,4.314777374E0,8.717721405E0,9.800071870E0
2.222949667E0,1.210981750E0,4.275109863E0,8.667126617E0,9.739718936E0
2.232955667E0,1.192719727E0,4.235891418E0,8.681197357E0,9.732858984E0
2.242961667E0,1.096918945E0,4.199666748E0,8.750952301E0,9.768295560E0
2.252967667E0,1.085392914E0,4.166884918E0,8.779393158E0,9.778484132E0
2.262973667E0,1.136287079E0,4.142485657E0,8.840017090E0,9.828389384E0
2.272979667E0,1.154698792E0,4.137994995E0,8.962462463E0,9.938916706E0
2.282985667E0,1.201102295E0,4.156257019E0,9.037606201E0,1.001975274E1
2.292991667E0,1.281784515E0,4.156855774E0,9.051078186E0,1.004213313E1
2.302997667E0,1.331032104E0,4.204157410E0,9.126970367E0,1.013647740E1
2.313003667E0,1.299298096E0,4.194577332E0,9.168883209E0,1.016617302E1
2.323009667E0,1.290915527E0,4.186494141E0,9.118887177E0,1.011668421E1
2.333015667E0,1.293609924E0,4.160897369E0,8.959768066E0,9.963128894E0
2.343021667E0,1.290017395E0,4.165388031E0,8.956025848E0,9.961174696E0
2.353027667E0,1.296753387E0,4.222269745E0,8.992400208E0,1.001860233E1
2.363033667E0,1.298399963E0,4.224365387E0,8.983867950E0,1.001204219E1
2.373039667E0,1.367406464E0,4.177363129E0,8.924591217E0,9.948290885E0
2.383045667E0,1.484463043E0,4.186494141E0,8.820707245E0,9.875993115E0
2.393051667E0,1.510957947E0,4.258195038E0,8.835975494E0,9.924196785E0
2.403057667E0,1.555714874E0,4.286486206E0,9.001830597E0,1.009094480E1
2.413063667E0,1.728904724E0,4.181554413E0,9.028325500E0,1.009877073E1
2.423069667E0,1.945055237E0,4.091292114E0,8.969946899E0,1.004897300E1
2.433075667E0,2.074685669E0,4.115391998E0,9.037306824E0,1.014463832E1
2.443081667E0,2.003583527E0,4.122277679E0,9.065298615E0,1.015810805E1
2.453087667E0,1.804647217E0,3.927532654E0,8.892557831E0,9.887358044E0
2.463093667E0,1.623523865E0,3.764222260E0,8.803942108E0,9.711570192E0
2.473099667E0,1.344504089E0,3.762126617E0,8.722361755E0,9.593793959E0
2.483105667E0,1.231339417E0,3.736679535E0,8.385412445E0,9.262511138E0
2.493111667E0,1.109343109E0,3.601211243E0,8.022716675E0,8.863596753E0
2.503117667E0,1.176852722E0,3.245850220E0,7.861501923E0,8.586252876E0
2.513123667E0,1.610351257E0,2.774779816E0,8.202642517E0,8.807722660E0
2.523128667E0,1.963167572E0,2.750081177E0,8.726852417E0,9.358147600E0
2.533134667E0,2.056124268E0,3.129991150E0,8.905730438E0,9.661083078E0
2.543140667E0,1.926942902E0,3.782334595E0,8.865164795E0,9.829054419E0
2.553146667E0,1.541793823E0,4.225113831E0,8.813222809E0,9.894524312E0
2.563152667E0,1.077160034E0,4.436474304E0,8.777746582E0,9.894008947E0
2.573158667E0,6.791377258E-1,4.538412323E0,8.933572540E0,1.004326306E1
2.583164667E0,6.590794373E-1,4.409380646E0,8.934021606E0,9.984676532E0
2.593170667E0,6.183641052E-1,4.285737762E0,8.737630005E0,9.751722947E0
2.603176667E0,5.415737915E-1,4.409979401E0,8.668922882E0,9.741223969E0
2.613182667E0,5.019062805E-1,4.781057739E0,8.744515686E0,9.978826464E0
2.623188667E0,5.484594727E-1,5.320685577E0,8.982371063E0,1.045435281E1
2.633194667E0,5.680686951E-1,5.376669159E0,9.295519867E0,1.075350933E1
2.643200667E0,7.307803345E-1,4.988077240E0,9.317673798E0,1.059405491E1
2.653206667E0,1.034349060E0,4.656067657E0,8.927435303E0,1.012165723E1
2.663212667E0,1.308728485E0,4.594695282E0,8.503067780E0,9.753263897E0
2.673218667E0,1.496288452E0,4.659660187E0,8.287066956E0,9.624281319E0
2.683224667E0,1.580712891E0,4.741240540E0,8.083639984E0,9.503854507E0
2.693230667E0,1.531914368E0,4.769232330E0,8.147257690E0,9.564002641E0
2.703236667E0,1.293759613E0,4.600982208E0,8.235574036E0,9.521949953E0
2.713242667E0,1.165177002E0,4.427642670E0,8.042774963E0,9.254614318E0
2.723248667E0,1.037342834E0,4.426145782E0,7.952362976E0,9.160072246E0
2.733254667E0,9.979747009E-1,4.410578156E0,8.093220062E0,9.270887991E0
2.743260667E0,1.149459686E0,4.392166443E0,8.395291901E0,9.544281520E0
2.753266667E0,1.281485138E0,4.431684265E0,8.198002167E0,9.406873503E0
2.763272667E0,1.298998718E0,4.478686523E0,8.143216095E0,9.383922368E0
2.773278667E0,1.330133972E0,4.586312714E0,8.335117035E0,9.606128079E0
2.783284667E0,1.397942963E0,4.774321747E0,8.480315094E0,9.831792144E0
2.793290667E0,1.394350433E0,4.715793457E0,8.318501587E0,9.663352923E0
2.803296667E0,1.401086426E0,4.678670654E0,8.330925751E0,9.656983283E0
2.813302667E0,1.456022186E0,4.764741669E0,8.554560699E0,9.899660223E0
2.823308667E0,1.621877289E0,4.811594238E0,8.777447205E0,1.014029114E1
2.833314667E0,1.643282776E0,4.970563660E0,8.768166504E0,1.021213128E1
2.843320750E0,1.281784515E0,4.748575287E0,8.523425446E0,9.840768269E0
2.853325750E0,1.332828369E0,4.510121155E0,8.618028717E0,9.817741250E0
2.863331750E0,1.547182617E0,4.500092010E0,8.710686035E0,9.925757067E0
2.873337750E0,1.539997559E0,4.554129639E0,8.246501312E0,9.545494913E0
2.883343750E0,1.383273468E0,4.773722992E0,8.032596130E0,9.445870912E0
2.893349750E0,1.228794708E0,5.087470551E0,8.195158081E0,9.723832013E0
2.903355750E0,1.115180969E0,5.247637482E0,8.241411896E0,9.833727562E0
2.913361750E0,1.021026764E0,4.975204010E0,8.158484344E0,9.610203816E0
2.923367750E0,1.115630035E0,4.761897583E0,8.182883606E0,9.533094098E0
2.933373750E0,1.215173035E0,4.819228363E0,8.283624115E0,9.660229604E0
2.943379750E0,1.354533234E0,4.959935760E0,8.460705872E0,9.900468013E0
2.953385750E0,1.547032928E0,5.012326813E0,8.625363464E0,1.009522788E1
2.963391750E0,1.644480286E0,4.916226654E0,8.591533813E0,1.003434369E1
2.973397750E0,1.723815308E0,4.801864471E0,8.585546265E0,9.987043921E0
2.983403750E0,1.795067139E0,4.751569061E0,8.488248596E0,9.891917853E0
2.993409750E0,1.763782196E0,4.778063965E0,8.474926300E0,9.887628567E0
3.003415750E0,1.793121185E0,4.779261475E0,8.531358948E0,9.941866491E0
3.013421750E0,1.691482544E0,4.820276184E0,8.367000732E0,9.803207482E0
