"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-1.556166666E-3,3.237317963E0,7.750283203E0,3.491938477E0,9.096194350E0
8.453833332E-3,3.875890045E0,6.883884888E0,3.501967621E0,8.641421874E0
1.846383333E-2,3.952081604E0,6.011798401E0,3.361110535E0,7.940889940E0
2.847283333E-2,3.828139343E0,5.534740448E0,2.889141998E0,7.323601856E0
3.848283333E-2,4.084256744E0,5.418432312E0,2.679278412E0,7.295141855E0
4.849283333E-2,4.303101654E0,5.073848877E0,3.196153564E0,7.380787484E0
5.850183333E-2,4.598886566E0,3.799548798E0,2.643053741E0,6.524726952E0
6.851183333E-2,4.873864746E0,4.074227600E0,3.336411896E0,7.175341974E0
7.852183333E-2,4.698130188E0,5.952072601E0,3.731889496E0,8.451425603E0
8.853083333E-2,3.781137085E0,6.426286469E0,3.329226837E0,8.165654093E0
9.854083333E-2,3.289709015E0,6.447841644E0,3.108435974E0,7.877767544E0
1.085508333E-1,2.469863892E0,7.216343536E0,1.917512512E0,7.864648493E0
1.185598333E-1,1.133293304E0,8.514743500E0,1.605710907E0,8.738622208E0
1.285698333E-1,1.547781372E-1,8.619525604E0,3.387605438E0,9.262615641E0
1.385798333E-1,9.466314697E-1,7.746540985E0,5.528154144E0,9.563759544E0
1.485888333E-1,-2.296973419E0,6.717580719E0,8.949888611E0,1.142376837E1
1.585988333E-1,-4.353397064E0,3.013982391E0,1.189411606E1,1.301945286E1
1.686088333E-1,-4.581073608E0,1.559756470E0,4.464466095E0,6.584112177E0
1.786178333E-1,9.783654785E-1,7.579638062E0,4.032913513E0,8.641325336E0
1.886278333E-1,9.935439148E0,1.302965469E1,1.140268799E1,1.996261871E1
1.986378333E-1,2.143452667E1,1.519071075E1,1.805934540E1,3.188003424E1
2.086468333E-1,3.577545456E1,1.454405548E1,2.508004578E1,4.604803356E1
2.186568333E-1,4.621354843E1,1.379695908E1,3.425102463E1,5.915387415E1
2.286668333E-1,4.616070831E1,1.137304962E1,4.780533829E1,6.742037984E1
2.386758333E-1,3.783786575E1,4.760400696E0,6.338015030E1,7.396897290E1
2.486858333E-1,2.702644821E1,-1.711840210E0,7.561959824E1,8.032236885E1
2.586948333E-1,1.984333557E1,-7.510182495E0,7.832013245E1,8.114310787E1
2.687048333E-1,1.720582031E1,-1.400382889E1,7.023768997E1,7.365786155E1
2.787148333E-1,1.761821274E1,-1.956072327E1,5.686405060E1,6.266213821E1
2.887248333E-1,2.016366943E1,-2.335114105E1,4.431429794E1,5.399635502E1
2.987338333E-1,2.262634827E1,-2.641811325E1,3.384461975E1,4.853170747E1
3.087438333E-1,2.330114502E1,-3.063753891E1,2.483755005E1,4.580945363E1
3.187528333E-1,1.959290634E1,-3.561364105E1,1.727288086E1,4.416521053E1
3.287628333E-1,1.308638672E1,-3.942995499E1,1.075348801E1,4.291401137E1
3.387728333E-1,5.972280579E0,-4.005011536E1,5.132526855E0,4.081694143E1
3.487818333E-1,-7.840695190E-1,-3.850577682E1,-8.334667969E-1,3.852277613E1
3.587918333E-1,-6.161487122E0,-3.492417480E1,-4.382286987E0,3.573326669E1
3.688018333E-1,-1.159818146E1,-3.094410141E1,-7.719297638E0,3.393586276E1
3.788108333E-1,-1.660975983E1,-2.737447449E1,-1.130733627E1,3.395735309E1
3.888208333E-1,-1.905672134E1,-2.300640793E1,-1.090646988E1,3.180258668E1
3.988308333E-1,-1.908261749E1,-1.962449066E1,-8.121211853E0,2.855207534E1
4.088398333E-1,-1.771985138E1,-1.728680191E1,-5.001848602E0,2.525559626E1
4.188498333E-1,-1.540117310E1,-1.521975037E1,-2.591261444E0,2.180714493E1
4.288598333E-1,-1.244751526E1,-1.335313202E1,-2.704575806E0,1.845430847E1
4.388688333E-1,-9.273964691E0,-1.132380203E1,-4.742288361E0,1.538584455E1
