"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.183624999E-3,-1.250649261E0,7.710915070E0,5.940396881E0,9.813798953E0
1.719162500E-2,-1.100062408E0,7.661068726E0,5.958359528E0,9.767505290E0
2.719962500E-2,-9.892927551E-1,7.638465729E0,5.908662872E0,9.707582386E0
3.720662500E-2,-9.952803040E-1,7.578290863E0,5.849685516E0,9.624962126E0
4.721462500E-2,-9.470805359E-1,7.496261444E0,5.889203339E0,9.579854547E0
5.722262500E-2,-8.375083923E-1,7.403454437E0,5.904920654E0,9.506873610E0
6.722962500E-2,-7.961943054E-1,7.342231750E0,6.061794434E0,9.554456772E0
7.723762500E-2,-7.396119690E-1,7.252717896E0,6.419999542E0,9.714182254E0
8.724562500E-2,-6.866221619E-1,7.183711395E0,6.556515656E0,9.750131124E0
9.725262500E-2,-6.454577637E-1,7.062463531E0,6.471043396E0,9.600490065E0
1.072606250E-1,-5.683680725E-1,6.969656525E0,6.449488220E0,9.512888764E0
1.172686250E-1,-4.682263184E-1,6.939120026E0,6.503525848E0,9.521894301E0
1.272756250E-1,-4.147874451E-1,6.990313568E0,6.608906708E0,9.628820295E0
1.372836250E-1,-4.450245667E-1,7.031328278E0,6.633455658E0,9.676794830E0
1.472916250E-1,-4.721182251E-1,7.101532288E0,6.669680328E0,9.753937263E0
1.572986250E-1,-5.542973328E-1,7.125183105E0,6.697223053E0,9.794298160E0
1.673066250E-1,-6.366261292E-1,7.116351471E0,6.770121460E0,9.842880456E0
1.773146250E-1,-6.785389709E-1,7.123087463E0,6.766528931E0,9.848081230E0
1.873216250E-1,-6.571334839E-1,7.191495209E0,6.703060913E0,9.852941356E0
1.973296250E-1,-6.887178040E-1,7.299869843E0,6.624174957E0,9.881403028E0
2.073376250E-1,-7.220983887E-1,7.302115173E0,6.519692230E0,9.815737306E0
2.173446250E-1,-6.906637573E-1,7.324119415E0,6.462660828E0,9.792125745E0
2.273526250E-1,-6.433621216E-1,7.289990387E0,6.416257324E0,9.732740247E0
2.373606250E-1,-5.405259705E-1,7.246580658E0,6.481820984E0,9.737510094E0
2.473676250E-1,-5.501060486E-1,7.192692719E0,6.589896240E0,9.770577141E0
2.573756250E-1,-4.984634399E-1,7.108867035E0,6.480324097E0,9.632188574E0
2.673836250E-1,-4.451742554E-1,7.183861084E0,6.434968414E0,9.654784238E0
2.773906250E-1,-4.903802490E-1,7.328161011E0,6.536457367E0,9.831972920E0
2.873986250E-1,-4.466711426E-1,7.304959259E0,6.551126862E0,9.822383012E0
2.974066250E-1,-3.528163147E-1,7.178621979E0,6.522236938E0,9.705496770E0
